priority,address,bundle_id,runtime_status,recommended_action,sheet_jp,sheet_ko,current_static_text,expected_if_18_is_control,only_leading_ko_diff_vs_sheet,current_payload_hex,direct_18_E518,source_payload_hex,nul_run,next_control,control_adjacent_08_17,predecessor_address,predecessor_text,next_dialogue_address,next_dialogue_text,status,confidence
P3_direct_ext3_control_adjacent_text_drift,600036,scenario_600019,unverified,confirm_current_text_then_rehome,……我々に敵対するつもりがないのか？,……우리에게 적대할 생각이 없는 건가？,こ……우리에게　적대할　생각은　없나？,……우리에게　적대할　생각은　없나？,,18E5181BD40101010101010101010101010101,True,18F1916A710CF211F1CB4020F21BF526050E1D,2,0861,True,600027,기다리고　있을　줄　알았는데……,60004E,설마、　항복이라도　하겠다는　건가……？,quarantine,unresolved
P4_direct_ext3_text_drift,60007E,scenario_600067,unverified,review_translation_and_runtime_by_bundle,アグリッパ・メンテナ－という人物が,아그리파 멘테너라는 인물이,こ아그리파　멘테너라는　인물이　우리들과의,아그리파　멘테너라는　인물이　우리들과의,,18E51839EA010101010101,True,18FCA92AFC84F664F02017,1,,,600070,문레이스　측에서　통신입니다！！,60008A,우리와의　회담을　요구하고　있습니다！！,quarantine,unresolved
P2_direct_ext3_exact_text,600119,scenario_600105,unverified,second_batch_representative_runtime_test,アグリッパ・メンテナ－の真意を,아그리파 멘테너의 진의를,こ아그리파　멘테너의　진의를,아그리파　멘테너의　진의를,True,18E518B0CF010101010101,True,18FCA92AFC8405E084DD15,1,,,600105,……제안에　응하도록　하죠。,600125,확인해야　합니다。,quarantine,unresolved
P4_direct_ext3_text_drift,600165,scenario_60014E,unverified,review_translation_and_runtime_by_bundle,私はラ－ディッシュでディアナ女王を,나는 라디시로 디아나 여왕을,こ나는　라디쉬로　디아나　여왕을,나는　라디쉬로　디아나　여왕을,,18E518C5E5010101010101,True,184108FE5716F8E7F48615,1,,,600157,넬　아가마를　부탁합니다。,600171,아그리파에게　직접　모셔　가겠습니다！,quarantine,unresolved
P2_direct_ext3_exact_text,6001A9,scenario_600190,unverified,second_batch_representative_runtime_test,その間の指揮はヘンケン中佐、,"그동안의 지휘는 헨켄 중령,",こ그동안의　지휘는　헨켄　중령、,그동안의　지휘는　헨켄　중령、,True,18E518B0D70101010101010101,True,18F4239905F13108F986F4CA07,1,,,60019A,만일에　대비해　여기　남겨　두겠습니다。,6001B7,당신에게　맡기고　싶습니다。,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,60022E,scenario_600222,unverified,high_priority_batch_after_anchor_pass,では、ハリ－中尉の同行を許可する。,"그럼, 해리 중위의 동행을 허가한다.",こ그럼、　해리　중위의　동행을　허가한다。,그럼、　해리　중위의　동행을　허가한다。,True,18E518B0DF010101010101010101010101,True,18F26107F7BBF55905F2B515F030F1CB0A,2,085B,True,600222,……어쩔　수　없군。,600244,……알겠다！,quarantine,unresolved
P4_direct_ext3_text_drift,6002DA,scenario_6002C7,unverified,review_translation_and_runtime_by_bundle,彼の者が表に出れば、戦乱がさらに拡大する,그자가 전면에 나서면 전란이 더욱 확대된다는,こ그가　나서면　전란은　더　커진다。,그가　나서면　전란은　더　커진다。,,18E5183BDE0101010101010101010101010101010101,True,1895059F17E1FD0C6FF03E07F36017F3570CF4D0F1CB,1,,,6002C7,어째서　김　깅가남을　움직였나！,6002F1,그것은　그대도　잘　알고　있을　터인데！,quarantine,unresolved
P2_direct_ext3_exact_text,600326,scenario_600308,unverified,second_batch_representative_runtime_test,それに、ギンガナムの好き勝手なやり方には,게다가 깅가남의 제멋대로인 방식에는,こ게다가　깅가남의　제멋대로인　방식에는,게다가　깅가남의　제멋대로인　방식에는,True,18E518B0EE010101010101010101010101,True,18F5AC07FCD505E09E32F386F81B7DF467,1,,,600319,어쩔　수　없는　일이었습니다。,600338,저도　정말　곤란을　겪고　있었습니다……,quarantine,unresolved
P4_direct_ext3_text_drift,600358,scenario_60034E,unverified,review_translation_and_runtime_by_bundle,そのような、あいまいな態度が,그러한 애매한 태도가,こ그러한　애매한　태도가　사태를　더욱,그러한　애매한　태도가　사태를　더욱,,18E5181A2A01010101010101,True,18FC4D071F0421F27BF25817,1,,,60034E,……윽！！,600365,사태를　더욱　악화시키고　있지　않나！！,quarantine,unresolved
P2_direct_ext3_exact_text,6003D7,scenario_6003C3,unverified,second_batch_representative_runtime_test,この場でおとなしく降伏すれば良し！,이 자리에서 얌전히 항복하면 좋다！,こ이　자리에서　얌전히　항복하면　좋다！,이　자리에서　얌전히　항복하면　좋다！,True,18E518B0F8010101010101010101010101,True,18F362BDF28013F52424F256F7DDCA1203,2,,,6003C3,잘　들어라、　에우고라는　놈들！！,6003EA,こ그렇지　않으면　이　자리에　있는,quarantine,unresolved
P2_direct_ext3_exact_text,6003EA,scenario_6003C3,unverified,second_batch_representative_runtime_test,さもなくば、この場にいる,그렇지 않으면 이 자리에 있는,こ그렇지　않으면　이　자리에　있는,그렇지　않으면　이　자리에　있는,True,18E518B0F901010101010101,True,18252006244907F362BDF61D,1,,,6003D7,こ이　자리에서　얌전히　항복하면　좋다！,6003F7,네놈들의　지휘관을　처형하겠다！！,quarantine,unresolved
P1_direct_ext3_exact_text_control_adjacent,600455,scenario_60044B,unverified,high_priority_batch_after_anchor_pass,こ、こんなこと、ギンガナムには……！,"이, 이런 짓, 깅가남에게는……！",こ이、　이런　짓、　깅가남에게는……！,이、　이런　짓、　깅가남에게는……！,True,18E518B0FF01010101010101,True,181807FBDD07FCD5F467F60C,2,1728,True,60044B,오오……！！,60046D,이런　일은　명령하지　않았다！,quarantine,unresolved
