address,bundle_id,priority,strategy,text,body_capacity,source_prefix_hex,current_ext3_token,native_tokens,native_token_count,native_body_hex,nul_run,next_control
600036,scenario_600019,P3_direct_ext3_control_adjacent_text_drift,portal16,……우리에게　적대할　생각은　없나？,18,18,E5181BD4,,0,,2,0861
60007E,scenario_600067,P4_direct_ext3_text_drift,portal16,아그리파　멘테너라는　인물이　우리들과의,10,18,E51839EA,,0,,1,
600119,scenario_600105,P2_direct_ext3_exact_text,portal16,아그리파　멘테너의　진의를,10,18,E518B0CF,,0,,1,
600165,scenario_60014E,P4_direct_ext3_text_drift,portal16,나는　라디쉬로　디아나　여왕을,10,18,E518C5E5,,0,,1,
6001A9,scenario_600190,P2_direct_ext3_exact_text,portal16,그동안의　지휘는　헨켄　중령、,12,18,E518B0D7,,0,,1,
60022E,scenario_600222,P1_direct_ext3_exact_text_control_adjacent,portal16,그럼、　해리　중위의　동행을　허가한다。,16,18,E518B0DF,,0,,2,085B
6002DA,scenario_6002C7,P4_direct_ext3_text_drift,portal16,그가　나서면　전란은　더　커진다。,21,18,E5183BDE,,0,,1,
600326,scenario_600308,P2_direct_ext3_exact_text,portal16,게다가　깅가남의　제멋대로인　방식에는,16,18,E518B0EE,,0,,1,
600358,scenario_60034E,P4_direct_ext3_text_drift,portal16,그러한　애매한　태도가　사태를　더욱,11,18,E5181A2A,,0,,1,
6003D7,scenario_6003C3,P2_direct_ext3_exact_text,portal16,이　자리에서　얌전히　항복하면　좋다！,16,18,E518B0F8,,0,,2,
6003EA,scenario_6003C3,P2_direct_ext3_exact_text,portal16,그렇지　않으면　이　자리에　있는,11,18,E518B0F9,,0,,1,
600455,scenario_60044B,P1_direct_ext3_exact_text_control_adjacent,portal16,이、　이런　짓、　깅가남에게는……！,11,18,E518B0FF,,0,,2,1728
6004F4,scenario_6004DB,P4_direct_ext3_text_drift,portal16,크와트로　대위가　왔더라면,17,18,E518499D,,0,,1,
600547,scenario_60052C,P2_direct_ext3_exact_text,portal16,조준이　어긋나서　머리에　맞아버릴지도,21,18,E518B10C,,0,,1,
600661,scenario_600647,P4_direct_ext3_text_drift,portal16,브라이트　함장들이,6,18,E5182C30,,0,,1,
6006D4,scenario_6006B7,P2_direct_ext3_exact_text,portal16,넬　아가마는,6,18,E518B0A9,,0,,1,
6006EC,scenario_6006B7,P2_direct_ext3_exact_text,portal16,마더　뱅가드는,6,18,E518B123,,0,,1,
60074C,scenario_600735,P1_direct_ext3_exact_text_control_adjacent,portal16,여기에　브라이트　중령　일행이　있다！！,11,18,E518B129,,0,,2,1728
6007C1,scenario_6007B7,P4_direct_ext3_text_drift,portal16,자넨　네오　지온　사람이지？,12,18,E5181C45,,0,,1,
60081B,scenario_600805,P1_direct_ext3_exact_text_control_adjacent,portal16,……자、　와라！,8,18,E518B135,,0,,2,1728
60085F,scenario_600840,P1_direct_ext3_exact_text_control_adjacent,portal16,……자、　디아나　님、　이쪽으로。,12,18,E518B139,,0,,2,0845
6008B0,scenario_600894,P4_direct_ext3_text_drift,portal16,라디쉬의　승무원들도,7,18,E518C5EA,,0,,1,
60091A,scenario_600909,P2_direct_ext3_exact_text,portal16,브라이트　함장은　승무원들을,11,18,E518B144,,0,,1,
600A59,scenario_600A48,P4_direct_ext3_text_drift,portal16,……아니요、　어쨌든、　지금은　적을,8,18,E5181A87,,0,,1,
600A72,scenario_600A48,P1_direct_ext3_exact_text_control_adjacent,portal16,그쪽과　합류하겠습니다。,7,18,E518B155,,0,,2,1728
600AE1,scenario_600AD7,P1_direct_ext3_exact_text_control_adjacent,portal16,그쪽은　괜찮으십니까！？,12,18,E518B15C,,0,,2,1728
600B04,scenario_600AFA,P4_direct_ext3_text_drift,portal16,이미　라디쉬의　모빌슈트는,8,18,E518C5E7,,0,,1,
600B96,scenario_600B7B,P1_direct_ext3_exact_text_control_adjacent,portal16,……본때를　보여주마！,12,18,E518B164,,0,,2,1728
600BD8,scenario_600BCB,P2_direct_ext3_exact_text,portal16,하필이면　이　폰　시티에서,13,18,E518B168,,0,,1,
600C17,scenario_600C02,P2_direct_ext3_exact_text,portal16,곤란하다면　깅가남을　막든가,17,18,E518B16B,,0,,1,
600D1F,scenario_600D14,P4_direct_ext3_text_drift,portal16,이、　이、　이、　이、　이　나를、　주、,9,18,E5182A29,,0,,1,
