group,title,check,address,focus,bundle_id,text,route,control_prefix_hex,next_control,nul_run
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BAE0,False,scenario_60BAE0,소위님은　샤아　대령님을　어떻게,scenario_first,170318,,1
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BAF3,False,scenario_60BAE0,생각하십니까？……　들려주세요！,scenario_continuation,,0879,2
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB0A,False,scenario_60BB0A,대령님은　날　거두어　주신　분……,scenario_first,173418,,1
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB20,False,scenario_60BB0A,나는　그분을　위해　싸울　거예요。,scenario_continuation,,0856,2
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB34,False,scenario_60BB34,그건　샤아　대령님을　좋아한다는,scenario_first,173418,,1
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB48,True,scenario_60BB34,뜻입니까！？,scenario_continuation,,,2
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB50,False,scenario_60BB34,그렇다면　당신　마음속에　품고　있는,scenario_continuation,18,,1
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB5E,False,scenario_60BB34,아무로라는　사람은　대체　누구죠！？,scenario_continuation,,0879,2
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB6E,False,scenario_60BB6E,………윽！,scenario_first,173418,0856,2
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB7A,False,scenario_60BB7A,샤아　대령님을　좋아한다고　하면서,scenario_first,173418,,1
A,single-NUL 실제 こ 제거 / STAGE4 기준점,`그건 샤아 대령님을 좋아한다는` 다음 줄이 `뜻입니까！？`로 나오고 선두 `こ`가 없어야 함.,60BB8C,False,scenario_60BB7A,다른　남자를　품다니、　비겁해요！,scenario_continuation,,,2
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,63683B,False,scenario_63683B,큭……너냐！！,scenario_first,173418,,2
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,636849,False,scenario_63683B,아까부터　내,scenario_continuation,18,,1
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,636850,False,scenario_63683B,머릿속에　들어오려는　건！,scenario_continuation,,1728,2
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,636860,False,scenario_636860,쥬도는　적이　아니야！,scenario_first,173418,,2
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,63686C,False,scenario_636860,쥬도와　있으면　기분　좋다는　걸,scenario_continuation,18,,1
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,63687C,True,scenario_636860,왜　그걸　모르는　거야！？,scenario_continuation,,1728,2
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,63688D,False,scenario_63688D,『……안　돼！！』,scenario_first,173418,1728,2
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,63689F,False,scenario_63689F,큭……너냐！！,scenario_first,173418,,2
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,6368AD,False,scenario_63689F,아까부터　내,scenario_continuation,18,,1
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,6368B4,False,scenario_63689F,머릿속에　들어오려는　건！,scenario_continuation,,1728,2
B,single-NUL 실제 こ 제거 + 직후 17 28,선두 `こ` 없이 현재 한글 문장이 출력되고 직후 `17 28` 제어가 노출/중단 없이 처리되어야 함.,6368C4,False,scenario_6368C4,『쥬도는　적이　아니야！』,scenario_first,173418,,2
C,double-NUL structural 18 + E504 + 08xx,`과거의 나도 그랬다。`가 정상 출력되고 직후 `08 0A`가 글자로 노출되지 않으며 다음 초상/대사가 정상이어야 함.,60B400,False,scenario_60B400,……네？,scenario_first,173418,0834,2
C,double-NUL structural 18 + E504 + 08xx,`과거의 나도 그랬다。`가 정상 출력되고 직후 `08 0A`가 글자로 노출되지 않으며 다음 초상/대사가 정상이어야 함.,60B40C,False,scenario_60B40C,아무리　어리다고　해도,scenario_first,173418,,1
C,double-NUL structural 18 + E504 + 08xx,`과거의 나도 그랬다。`가 정상 출력되고 직후 `08 0A`가 글자로 노출되지 않으며 다음 초상/대사가 정상이어야 함.,60B419,False,scenario_60B40C,눈도　보이고　생각할　머리도　있지。,scenario_continuation,,,2
C,double-NUL structural 18 + E504 + 08xx,`과거의 나도 그랬다。`가 정상 출력되고 직후 `08 0A`가 글자로 노출되지 않으며 다음 초상/대사가 정상이어야 함.,60B42C,False,scenario_60B40C,아이　취급하지　않고　조리를　설하면,scenario_continuation,18,,1
C,double-NUL structural 18 + E504 + 08xx,`과거의 나도 그랬다。`가 정상 출력되고 직후 `08 0A`가 글자로 노출되지 않으며 다음 초상/대사가 정상이어야 함.,60B43F,False,scenario_60B40C,납득해　주는　법이지。,scenario_continuation,,,2
C,double-NUL structural 18 + E504 + 08xx,`과거의 나도 그랬다。`가 정상 출력되고 직후 `08 0A`가 글자로 노출되지 않으며 다음 초상/대사가 정상이어야 함.,60B449,True,scenario_60B40C,과거의　나도　그랬다。,scenario_continuation,18,080A,2
C,double-NUL structural 18 + E504 + 08xx,`과거의 나도 그랬다。`가 정상 출력되고 직후 `08 0A`가 글자로 노출되지 않으며 다음 초상/대사가 정상이어야 함.,60B459,False,scenario_60B459,하아、　그런　겁니까……,scenario_first,173418,0834,2
