group,relative,address,target,also_modified,original_japanese,korean,route,next_control,before_body,candidate_body,method
F191081D 동일 / STAGE4 실측,-5,60B3BD,False,False,まさか、大佐に、その……,설마　대령님이、　그……,scenario_continuation,,,,
F191081D 동일 / STAGE4 실측,-4,60B3CA,False,False,こ子供をあやす才能が,こ아이를　달래는　재주가,scenario_continuation,,,,
F191081D 동일 / STAGE4 실측,-3,60B3D7,False,False,おありとは…いやはや……,있을　줄은…　놀랍군……,scenario_continuation,0834,,,
F191081D 동일 / STAGE4 실측,-2,60B3E8,False,False,……いや。,……아니。,scenario_first,,,,
F191081D 동일 / STAGE4 실측,-1,60B3F1,False,False,あやしたわけではないさ。,달랜　게　아니라네。,scenario_continuation,080A,,,
F191081D 동일 / STAGE4 실측,0,60B400,True,True,……は？,……네？,scenario_first,0834,E51891E6,E51D5101,event_safe_E51D_param_51
F191081D 동일 / STAGE4 실측,1,60B40C,False,False,いくら幼いとは言っても,아무리　어리다고　해도,scenario_first,,,,
F191081D 동일 / STAGE4 실측,2,60B419,False,False,目も見えていれば考える頭もある。,눈도　보이고　생각할　머리도　있지。,scenario_continuation,,,,
F191081D 동일 / STAGE4 실측,3,60B42C,False,False,こ子供扱いせずに条理を説けば,こ아이　취급하지　않고　조리를　설하면,scenario_continuation,,,,
F191081D 동일 / STAGE4 실측,4,60B43F,False,False,納得してくれるものだ。,납득해　주는　법이지。,scenario_continuation,,,,
F191081D 동일 / STAGE4 실측,5,60B449,False,False,こ……かつての私もそうだった。,こ과거의　나도　그랬다。,scenario_continuation,080A,,,
08xx 대표,-5,6184AD,False,False,って子供か……ん？,애인가……응？,scenario_first,,,,
08xx 대표,-4,6184BA,False,False,お、お兄ちゃんって……オレ？,오、　오빠라니……나　말이야？,scenario_continuation,0863,,,
08xx 대표,-3,6184CC,False,False,うん、そうだよ！,응、　맞아！,scenario_first,,,,
08xx 대표,-2,6184D6,False,False,アタシ、エルピ－・プル。,난　엘피　플이야。,scenario_continuation,,,,
08xx 대표,-1,6184E1,False,False,こねぇ、お兄ちゃん、あそぼ！！,こ저기、오빠、같이　놀자！！,scenario_continuation,1728,,,
08xx 대표,0,6184FD,True,True,……へ？,……에？,scenario_first,0863,E518D545,E51D5601,event_safe_E51D_param_56
08xx 대표,1,618509,False,False,ねぇ、あそぼぉよ～！,저기、　나랑　놀아　줘～！,scenario_first,083B,,,
08xx 대표,2,61851D,False,False,悪いけどさあ、他をあたってくんない？,미안하지만、　다른　사람을　찾아　줄래？,scenario_first,,,,
08xx 대표,3,618534,False,False,オレ、やることがあるんだ。,난　할　일이　있거든。,scenario_continuation,0863,,,
08xx 대표,4,618543,False,False,やだ！　お兄ちゃんとあそぶの！！,싫어！　오빠랑　놀　거야！！,scenario_first,083B,,,
08xx 대표,5,61855A,False,False,……だからさあ！,……그러니까！,scenario_first,,,,
1728 대표,-5,61AA32,False,False,……さてっと。,……자、　그럼。,scenario_first,,,,
1728 대표,-4,61AA3C,False,False,こ街に出てきたのはいいけど、,こ거리에　나온　건　좋은데、,scenario_continuation,,,,
1728 대표,-3,61AA4C,False,False,どこへ行こう？,어디로　갈까？,scenario_continuation,,,,
1728 대표,-2,61AA54,False,False,こホンコンなんて初めてだしな……,こ홍콩은　처음이라서……,scenario_continuation,1728,,,
1728 대표,-1,61AA6E,False,False,……君、１人なの？,……너　혼자야？,scenario_first,1728,,,
1728 대표,0,61AA81,True,True,……え？,……어？,scenario_first,1728,E518F2AE,E51D5801,event_safe_E51D_param_58
1728 대표,1,61AA94,False,False,もし良かったらー緒に行かない？,괜찮으면　같이　갈래？,scenario_first,,,,
1728 대표,2,61AAA4,False,False,アタシ、１人で退屈してたとこなの。,나　혼자라　심심하던　참이야。,scenario_continuation,081E,,,
1728 대표,3,61AABB,False,False,き…君は……？,너…너는……？,scenario_first,085F,,,
1728 대표,4,61AACA,False,False,アタシはフォウ。,난　포우야。,scenario_first,,,,
1728 대표,5,61AAD5,False,False,こフォウ……ムラサメよ。,こ포우……　포우　무라사메라고　해。,scenario_continuation,1728,,,
